PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0	0	NA	NA
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0	0	NA	NA
ZB_6	0.2536	2	0.2536	0.112711111111111
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0	0	NA	NA
ZB_12	0.1268	1	Inf	0
ZB_13	0.1268	1	Inf	0
ZB_14	0	0	NA	NA
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0	0	NA	NA
ZB_19	0.2536	2	0.2536	0.121728
ZB_20	0	0	NA	NA
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.2536	2	0.2536	0.1268
ZB_26	0.2536	2	0.2536	0.1268
ZB_27	0.1268	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.1268	1	Inf	0
ZB_31	0	0	NA	NA
ZB_32	0.2536	2	0.2536	0.1268
ZB_33	0.1268	1	Inf	0
ZB_34	0.1268	1	Inf	0
ZB_35	0	0	NA	NA
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0	0	NA	NA
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.1268	1	Inf	0
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.1268	1	Inf	0
ZB_49	0.1268	1	Inf	0
ZB_50	0	0	NA	NA
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.1268	1	Inf	0
ZB_55	0	0	NA	NA
ZB_56	0	0	NA	NA
ZB_57	0.1268	1	Inf	0
ZB_58	0	0	NA	NA
ZB_59	0.1268	1	Inf	0
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
